,CID,standard_inchi_key,smiles
108,11374124,GSEARIWHWZTSPV-UHFFFAOYSA-N,"""CC1=CC2=C(C=C1)N=C(N(C2=O)N)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4"""
109,23155667,BSCUUFDNCBQNPG-UHFFFAOYSA-N,"""CC1=C2C(=CC=C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
110,11430418,WFQOETMVYMINSA-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
111,23155620,HOABLJVFGVOCMM-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=CC=CC=N4)N)C"""
112,11476372,GERBCOZLRREKHD-UHFFFAOYSA-N,"""CC1CCC2=C(C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
113,23155770,FCQFXDREOPQEAF-UHFFFAOYSA-N,"""CC1CCC2=C(C1)N=C(N(C2=O)N)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4"""
114,5358,KQKPFRSPSRPDEB-UHFFFAOYSA-N,"""CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C"""
115,49832807,KKLZGWQBNXJWGZ-UHFFFAOYSA-N,"""C1CN(CC(C2=C1C=C(C=C2)O)O)CCCCC3=CC=CC=C3"""
116,10331436,VVHJUSGIUWQPIT-VIFPVBQESA-N,"""CC(CC1=CNC2=C1C3=C(C=C2)OCCC3)N"""
117,216239,MLDQJTXFUGDVEO-UHFFFAOYSA-N,"""CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F"""
118,9856041,VVHJUSGIUWQPIT-UHFFFAOYSA-N,"""CC(CC1=CNC2=C1C3=C(C=C2)OCCC3)N"""
119,671690,MNJNPLVXBISNSX-PBWFPOADSA-N,"""CN1C2CCC1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl"""
120,10374840,DWLMIHRZURMFAQ-UHFFFAOYSA-N,"""C1=CC(=CC(=C1)Cl)N=C(N)N"""
121,720937,BGMSTNYJYPSLHN-UHFFFAOYSA-N,"""C1=CC=C2C(=C1)C=CC=C2CSC3=NC=NC4=C3NC=N4"""
122,10915140,IJKYJDDNDXAREJ-UHFFFAOYSA-N,"""COC1CC2=CC=CC=C2C3(O1)CCN(CC3)CCCC4=CC=CC=C4"""
123,10357986,RZZAEVQHACUOGI-UHFFFAOYSA-N,"""COC1C2=CC=CC=C2C3(O1)CCN(CC3)CC4=CC=CC=C4"""
124,10019102,POOPPNNSPMKABZ-UHFFFAOYSA-N,"""COC1CC2=CC=CC=C2C3(O1)CCN(CC3)CC4=CC=CC=C4"""
125,710987,GEIHZHQRXYKYAE-UHFFFAOYSA-N,"""C1=CC=C(C=C1)CSC2=NC=NC3=C2C=CS3"""
126,9906933,JKCPJPRSHXMMGA-UHFFFAOYSA-N,"""CC(C)N1C=NC2=C(C=C(C=C21)Cl)C(=O)NC3CC4CCC(C3)N4C"""
127,71360,XMXHEBAFVSFQEX-UHFFFAOYSA-N,"""CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC"""
128,663391,XJIAFXBLMMIRJR-UHFFFAOYSA-N,"""C1=CC=C(C(=C1)CSC2=NC=NC3=C2OC4=CC=CC=C43)F"""
129,44362829,OGXMGJGFLBSEJW-OAHLLOKOSA-N,"""CC(C)N1C=NC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4"""
130,6604794,OGXMGJGFLBSEJW-HNNXBMFYSA-N,"""CC(C)N1C=NC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4"""
131,11385,GHCKERHPOQWERJ-UHFFFAOYSA-N,"""C1=CC=C2C(=C1)C=C3C=CC(=CC3=N2)N"""
132,67786,YFCWBKBNFCDPDF-UHFFFAOYSA-N,"""C1CCN(C1)CC2=CN=CC=C2"""
133,11004759,IBPWGZKZWJYGLA-UHFFFAOYSA-N,"""C1CCN(CC1)CCCOC2=CC=C(C=C2)CCNC3=C4CCCCC4=NC5=CC=CC=C53"""
134,75896,PDNJLMZEGXHSCU-VKHMYHEASA-N,"""C(CS(=O)O)C(C(=O)O)N"""
135,1069463,RVXFERDBNJSQDX-UHFFFAOYSA-N,"""CN(C)C1=C2C3=C(C(=NC=N3)SCC4=CC=C(C=C4)Cl)SC2=NC=C1"""
136,9904281,VBKOTIVQMCTTAQ-UHFFFAOYSA-N,"""C1C2=C(C=CC(=C2Cl)Cl)NC(=N1)N"""
137,703907,WHCWGLIMIAJMOY-UHFFFAOYSA-N,"""C1CCC2=C(C1)C3=C(S2)N=CN=C3SCC4=CC=CC=C4F"""
138,5281751,YXBUQQDFTYOHQI-UHFFFAOYSA-N,"""CC1=CC(=C2C3=C4C5=C(C(=CC(=C5C2=O)O)O)C6=C7C4=C8C(=C13)C(=CC(=C8C(=O)C7=C(C=C6O)O)O)CO)O"""
139,2227334,UMWDYBZXNCMBRO-UHFFFAOYSA-N,"""CC1=CC2=C(N=CN=C2S1)NCC3=CC=CC=C3"""
140,50898777,RNXYMZNGMNWKMC-UHFFFAOYSA-N,"""COC(=O)CCCCCN1CCC(CC1)CNC(=O)C2=C3N(CCCO3)C4=CC=CC=C42"""
141,50898778,ODMLUIATXKBXOW-UHFFFAOYSA-N,"""C1CN2C3=CC=CC=C3C(=C2OC1)C(=O)NCC4CCN(CC4)CCCCCC(=O)O"""
