Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL104574,P20309,,RNEMFGJTTJMEDD-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,1380.38,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1606522,DTCC00274976,1947469,16818
CHEMBL1046,P20309,AMINOCAPROIC ACID,SLXKOJJOQWFEFD-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7299487,DTCC00237384,574618,46191
CHEMBL1046,P20309,AMINOCAPROIC ACID,SLXKOJJOQWFEFD-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7299488,DTCC00237384,574618,46191
CHEMBL104693,P20309,,COXRSODPRFBGSM-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,100,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1638247,DTCC00274452,173278,16818
CHEMBL104700,P20309,,SCDKHPSUXHBJDJ-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,22607684,KI,,,,,,,,,,,,,,,,,Inhibition of M3 muscarinic receptor,Not Determined,7-Azabicyclo[2.2.1]heptane as a scaffold for the development of selective sigma-2 (s(2)) receptor ligands.,Bioorg. Med. Chem. Lett.,2012,22,12,"Banister SD, Rendina LM, Kassiou M",,818109,DTCT0023280,10478133,DTCC00272114,931177,48255
CHEMBL104803,P20309,,LEYDLUKDXKBMCP-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,3090.3,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1628130,DTCC00274750,1947467,16818
CHEMBL104804,P20309,,ZNDQFSMTECRSAH-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,2041.74,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1617926,DTCC00274751,1818372,16818
CHEMBL105,P20309,MITOMYCIN,NWIBSHFKIJFRCO-WUDYKRTCSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7430649,DTCC00143504,542580,46191
CHEMBL105,P20309,MITOMYCIN,NWIBSHFKIJFRCO-WUDYKRTCSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7430650,DTCC00143504,542580,46191
CHEMBL105122,P20309,,BLBSVEUIBHKGSO-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,229.09,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1634436,DTCC00274610,76375,16818
CHEMBL105148,P20309,,OUVBYPZNWMJZAC-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,91.2,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1607687,DTCC00274948,530297,16818
CHEMBL105160,P20309,,PUYDWHDEVFRQHJ-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,281.84,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1619195,DTCC00274323,1532750,16818
